,Job title,Company name,Location,Job type,Exp level,Exp years,Skills
366,SAP Analyst - Multinational Company,Pillars -,"Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance,Logistics/Supply Chain,Analyst/Research,SAP,Implementation,Computer Science,Analysis,Finance,Supply Chain"
367,Data Scientist,egabi solutions -,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,3 - 7 Yrs of Exp,"IT/Software Development,AI,ML,Data Analysis,Data Mining,Data Science,data scientist,Information Technology (IT),Machine Learning"
368,Chief Financial Officer (CFO),Confidential -,"Maadi, Cairo, Egypt ",Full Time,Senior Management,20+ Yrs of Exp,"Accounting/Finance,CFO,Acounting,Finance,Financial Analysis,Fianancial Management,Financial Controls"
369,Chief Accountant,Foundever -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Banking,Operations/Management,Finance,Accounting,Financial Management,Financial Analysis,Microsoft Office,Commerce,ERP"
370,Sales and Inventory Analyst,Confidential -,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Analyst/Research,Sales/Retail,Microsoft Excel,Sales Analysis,Inventory analysis,Data Analytics,Microsoft Office,Analytics,Data Analyst"
371,Data Analytics Engineer,Erada -,"Maadi, Cairo, Egypt ",Full Time,Experienced,3 - 4 Yrs of Exp,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology,analytical,Information Technology (IT),Software Engineering,Data Analytics,Data,Engineering,Analysis"
372,Procurement Manager,Confidential -,"Agami, Alexandria, Egypt ",Full Time,Manager,15 - 20 Yrs of Exp,"males_only,Logistics/Supply Chain,Purchasing/Procurement,Procurement Manager,Supply Chain Management,Logistics,Contract Negotiation,Supplier Management,Procurement Strategy,Demand Forecasting,Tendering Process"
373,Retail Accountant - Mansoura,Tradeline Stores -,"Mansoura, Dakahlia, Egypt ",Full Time,Entry Level,0 - 2 Yrs of Exp,"Accounting/Finance,Billing,Installment,Retail,Microsoft Excel,Microsoft Office,Accounting,Finance,Financial Management,Financial Analysis"
374,Industrial Cost Accountant,NCC X-calibur -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance,Analyst/Research,Cost Accounting,Accounting,Finance,Financial Analysis"
375,Bookkeeper,Tlnted -,"Obour City, Cairo, Egypt ",Full Time,Entry Level,1+ Yrs of Exp,"Accounting/Finance,Administration,Accounting,Bookkeeping,Data Entry,Finance,English,MS Office,Financial,Financial Analysis"
376,Accounting Supervisor,Cairo Transport & Touring  -,"Downtown, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"males_preferred,Accounting/Finance,Tourism/Travel,Accounting,Finance,Auditing,Computer Skills,excel,Financial Analysis,Accounting Software,Cost"
377,Treasury Accountant,Cairo Transport & Touring  -,"Downtown, Cairo, Egypt ",Full Time,Experienced,1 - 2 Yrs of Exp,"males_preferred,Accounting/Finance,Analyst/Research,Tourism/Travel,Accounting,Finance,Auditing,Computer Skills,excel,Financial Analysis,Accounting Software"
378,Laboratory engineer,Chema industries -,"Noubaria, Beheira, Egypt ",Full Time,Entry Level,3 - 3 Yrs of Exp,"R&D/Science,Quality,Engineering - Other,Chemistry,Analysis,Laboratory,Laboratory Equipment,Science,Sciences,MS Office"
379,External Audit Manager,Kreston -,"Cairo, Egypt ",Full Time,Manager,9+ Yrs of Exp,"Accounting/Finance,Accounting,Finance,Auditing,Financial Analysis,English,ACCA,Accountant,Excel,ESAA"
380,General Accountant - Giza,Confidential -,"Mohandessin, Giza, Egypt ",Full Time,Experienced,5+ Yrs of Exp,"males_only,Accounting/Finance,Accounting,Cost Accounting,Finance,Real Estate,Construction,English,Microsoft Office,Financial Analysis,excel"
381,Delay Analyst & Planner,Viale14 Consult -,"Giza, Egypt ",Freelance / Project,Experienced,5 - 8 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Project/Program Management,Primavera P6,Claims Management,Project Planning,Analysis,Project Management,MS Project"
382,Finance Manager,Antal International - Egypt -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Banking,Operations/Management,Finance,Accounting,Financial Management,Financial Analysis,Microsoft Office,Commerce,Microsoft Excel"
383,Business Support Assistant to Deputy Country Director,World Food Program - Other locations -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Administration,Sales/Retail,sales,microsoft office,sales skills,finance,administration,management,commerce"
384,Business System Analyst,Argaam -,"Mohandessin, Giza, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"IT/Software Development,Analyst/Research,business,Analysis,Communication skills,Business Analysis,Information technology"
385,Day Auditor,Four Seasons Hotels and Resorts -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Operations/Management,Quality,accounting,finance,financial analysis,financial management,commerce,english,audit"
386,Accountant,Lasirena Group -,"Maadi, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"Accounting/Finance,Accounting,Finance,Financial Management,Financial Analysis"
387,Agile Coach,Lumin -,"Sheikh Zayed, Giza, Egypt ",Full Time,Manager,3 - 8 Yrs of Exp,"IT/Software Development,Agile,Certified ScrumMaster (CSM),Certified Scrum Professional (CSP),Kanban,SAFe.,Business Process Management,process automation,facilitation,Product Management"
388,Senior treasury accountant,Delta Egypt For Lighting  -,"Obour City, Cairo, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"Accounting/Finance,Banking,Treasury,senior,Treasury Accountant,Finance,Financial Analysis,Accounting,Financial Management"
389,Banking Accountant,Talaat Moustafa Group -,"Madinaty, Cairo, Egypt ",Full Time,Entry Level,0 - 1 Yrs of Exp,"Accounting/Finance,Banking,Accounting,Banking,Bookkeeping,Finance,EAS,Financial Analysis,English,Communication skills"
390,Data Analyst,Arma-HSA -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Analyst/Research,Data Analysis,Computer Science,Information Technology (IT),Reporting,Power BI,IT,analytical,Engineering,English"
391,Accounting Manager,Confidential -,"Giza, Egypt ",Full Time,Manager,7 - 10 Yrs of Exp,"Accounting/Finance,Accounting,Financial Management,Financial Analysis"
392,Cost Accountant, Devash control system -,"Mohandessin, Giza, Egypt ",Full Time,Experienced,3 - 7 Yrs of Exp,"Accounting/Finance,Banking,Accounting,analytical,Cost Accounting,Financial Analysis"
393,CFO,Confidential -,"Maadi, Cairo, Egypt ",Full Time,Senior Management,15 - 20 Yrs of Exp,"Accounting/Finance,C-Level Executive/GM/Director,Finance,Financial Management,Financial Analysis,Banking,Accounting"
394,National_Financial Analyst,Dubai Festival City -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Project/Program Management,Analyst/Research,Finance,Financial Analysis,Accounting,Microsoft Office,Commerce,Analysis,Financial Management"
395,Fitness Data Collection Coordinator/ Analyst,TEMPO -,"New Cairo, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"Other,Analyst/Research,English,Data Entry,Microsoft Office,fitness,Data Collection,Analysis,Data Analysis"
396,Finance Manager,"Dentsu, Inc. -","Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Banking,Operations/Management,Finance,Accounting,Financial Management,Financial Analysis,Microsoft Office,Commerce,Microsoft Excel"
397,Data Analyst,Second profit   -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology,Analysis,Analyst,analytical,business,Computer Science,Data,Data Analysis"
398,Treasury Specialist,Nestle Operational Services Worldwide SA -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Banking,Finance,Accounting,Treasury,Financial Analysis,Financial Management,Commerce,Microsoft Office,Banking"
399,Accounts Payable Specialist,Foundever -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Customer Service/Support,Sales/Retail,Finance,Accounting,Accounts Payable,Financial Analysis,Financial Management,Commerce,Sales"
400,Day Auditor,Four Seasons Hotels and Resorts -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Operations/Management,Quality,accounting,finance,financial analysis,financial management,commerce,english,audit"
401,Microbiologist Specialist Global Pharmaceutical Industries - Sterile Area (GPI),Global Napi Pharmaceuticals -,"6th of October, Giza, Egypt ",Full Time,Experienced,1 - 2 Yrs of Exp,"Quality,Analysis,Research Analysis"
402,Accountant,Jessour Misr -,"Abu Rawash, Giza, Egypt ",Full Time,Entry Level,0 - 2 Yrs of Exp,"Accounting/Finance,Banking,accountant,Accounting,ERP,Finance,Financial Analysis,Odoo,Odoo ERP,CMA"
403,Senior Business Analyst,Future Translations -,"Cairo, Egypt ",Full Time,Not specified,IT/Software Development,"Analyst/Research,Engineering - Telecom/Technology,Information Technology (IT),Business Analysis,Computer Science,Analysis,Business Development,Sales,Sales Skills"
404,Senior Site Accountant,Media Land Group -,"New Cairo, Cairo, Egypt ",Full Time,Senior Management,5 - 7 Yrs of Exp,"Accounting/Finance,Cost Accounting,Construction,CPA,Finance,Financial Management,Accounting,Accounting Software,English,Financial Analysis"
405,Finance Director - Food Industry ( International Company ),Pillars -,"Cairo, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"Accounting/Finance,Banking,Operations/Management,Accounting,Costing,Commerce,CMA,Treasury,Financial Analysis,Management"
406,Senior GL Accountant,Sky logistics -,"Sheikh Zayed, Giza, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"Accounting/Finance,ERP,Accounting,GL,General Ledger,Financial Accounting,Financial Analysis"
407,Treasury Manager,Multi M Group  -,"khanka, Qalubia, Egypt ",Full Time,Manager,10+ Yrs of Exp,"Accounting/Finance,Banking,Accounting,Banking,Finance,Financial Analysis,SAP,Treasury,Communication skills,Computer Skills"
408,Accounts Payable Accountant,The Translation Gate -,"Maadi, Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,"Accounting/Finance,Accounting,Banking,Accounts Payable,Finance,Financial Analysis,Communication skills,English,ERP Accounting,excel"
409,Ecommerce Senior Officer,Areeba Egypt -,"Cairo, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"Banking,Sales/Retail,Communication,Data Analysis,E-Commerce,Information Technology (IT),Analysis,Fintech"
410,Junior Accountant,Delta Capital for Urban Development -,"Dokki, Giza, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"Accounting/Finance,Accounting,analytical,Communication,English,Finance,General Accounting,Financial Analysis,Microsoft Office"
411,Tax Manager,MMA accounting office -,"Heliopolis, Cairo, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"Accounting/Finance,Accounting,Personal Tax,Taxation,Communication Skills,Payroll,Tax Analysis,Excel,Finance,Financial Management"
412,Methodology Analyst,APEX Pharma -,"Badr City, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"R&D/Science,Pharmaceutical,Methodology,Analysis,Science,Pharmacy"
413,Internal Audit Manager,Confidential -,"Katameya, Cairo, Egypt ",Full Time,Manager,7 - 10 Yrs of Exp,"Accounting/Finance,Administration,Internal audit,Audit,Manager,Financial Analysis,Finance"
414,National_Financial Analyst,Al Futtaim Private Company LLC -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Project/Program Management,Analyst/Research,Finance,Financial Analysis,Accounting,Microsoft Office,Commerce,Analysis,Financial Management"
415,Accounting Supervisor,Sykes Enterprises -,"Maadi, Cairo, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"Accounting/Finance,Accounting,Financial Analysis,SAP,Tax,Payroll,Oracle,VAT,Senior GL,Chief Accountant"
416,Payroll Specialist,Zeina Group -,"Sheikh Zayed, Giza, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"males_only,Human Resources,Payroll,Distribution,Tax Law,Employment Law,Operations,Microsoft Excel,Analysis"
417,Accountant - Accounts Receivable,Raya Holding for Financial Investments -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Administration,Banking,Accounting,Finance,Financial Analysis,Financial Management,Microsoft Office,Commerce,Microsoft Excel"
418,Assurance Graduates - Egypt,PricewaterhouseCoopers -,"Cairo, Egypt ",Full Time,Not specified,IT/Software Development,"Quality,Pharmaceutical,quality assurance,quality control,science,quality,engineering,accounting,finance"
419,Senior General Accountant,Willis Towers Watson plc -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Banking,Logistics/Supply Chain,Accounting,Finance,Financial Analysis,Financial Management,Microsoft Office,Commerce,Microsoft Excel"
420,Treasury Manager,Nahdet Misr Publishing Group -,"Mohandessin, Giza, Egypt ",Full Time,Manager,6+ Yrs of Exp,"Accounting/Finance,Manufacturing,FMCG,Treasury,Treasury Analysis,Cash Management,Payments,Accounting,Finance"
421,Senior AR accountant,Infinity Clinic Pharma -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,3 - 6 Yrs of Exp,"males_only,Accounting/Finance,Administration,Banking,English,Accounting,Finance,Financial Analysis,Financial Management,SAP,excel"
422,Sourcing Specialist,Alimento -,"Madinaty, Cairo, Egypt ",Part Time,Experienced,3 - 20 Yrs of Exp,"Hospitality/Hotels/Food Services,Procurement,business,Microsoft Office,Supply Chain,Sourcing,Data Analysis"
423,Corporate Treasury Senior accountant,AlGammal Contracting -,"Katameya, Cairo, Egypt ",Full Time,Experienced,7 - 10 Yrs of Exp,"Accounting/Finance,Administration,Banking,Accounting,Accounting Software,Finance,Financial Management,Financial Analysis,CMA,CPA"
424,Finance Manager,Professional Service - Proserv -,"Nasr City, Cairo, Egypt ",Full Time,Senior Management,10 - 15 Yrs of Exp,"Accounting/Finance,Banking,Strategy/Consulting,IPO,Financial Management,Financial Analysis,CFA,CPA,CA,ACCA"
425,Finance Manager,Turbo Egypt Compression -,"Sheraton, Cairo, Egypt ",Full Time,Manager,6 - 8 Yrs of Exp,"Accounting/Finance,Banking,Operations/Management,Accounting,analytical,Communication skills,excel,Financial Management,Financial Analysis,Microsoft Office"
426,Accountant - Account Receivable,Raya Distribution -,"6th of October, Giza, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"Accounting/Finance,Banking,Accounting,Accounting principles,Egyptian Tax,English section,English,Financial Management,Oracle,Tax"
427,General Ledger Accountant,Better Home -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"Accounting/Finance,Banking,Finance,Accounting,Financial Management,Financial Analysis,General Ledger (GL)"
428,Digital Marketing,SalesHub Pro -,"Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"Marketing/PR/Advertising,Communication,Communication skills,Digital Marketing,Digital,Marketing,Social Media,social,media,Analysis"
429,Finance Manager,Confidential -,"Katameya, Cairo, Egypt ",Full Time,Manager,10 - 12 Yrs of Exp,"Accounting/Finance,Operations/Management,Finance,Financial,Financial Analysis,CFA,CMA,CPA,Reporting,MBA"
430,"ETIC, Business Analyst- Senior Associate",PricewaterhouseCoopers -,"Cairo, Egypt ",Full Time,Not specified,IT/Software Development,"Analyst/Research,Engineering - Telecom/Technology,Business Analysis,Information Technology (IT),Computer Science,Analysis,Software Development,Computer Engineering,Software"
431,Accountant,Confidential -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"Accounting/Finance,Administration,Accounting,Accounting Software,Finance,Financial Management,MS Excel,MS,Financial Analysis,MS Office"
432,General Accountant,Confidential -,"Alexandria, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"Accounting/Finance,Banking,Logistics/Supply Chain,Accounting,analytical,Finance,Financial Analysis,Financial Management,Ledger,MS Excel"
433,General Accountant,Second profit   -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,"Accounting/Finance,Accounting,Accounting Software,Finance,Financial Analysis,Financial Management,excel,General Ledger,MS,MS Excel"
434,Financial Controller,Do Outsource -,"Sheikh Zayed, Giza, Egypt ",Full Time,Manager,9 - 15 Yrs of Exp,"Accounting/Finance,Accounting,CMA,CPA,English,Financial,Financial Analysis,Financial Management,Tax"
435,Site Accountant,KEC- IDENTITY FOR ENGENERING -,"New Capital, Cairo, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,"Accounting/Finance,Administration,Accounting,Construction,Finance,Financial Analysis,Site"
436,Accountant,Eleganto Designs  -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,1 - 2 Yrs of Exp,"Accounting/Finance,Administration,Banking,Accounting,accountant,Finance,Financial Analysis,Financial Management"
437,Treasury Accountant,T&D Design -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,0 - 4 Yrs of Exp,"Accounting/Finance,Accounting,Finance,Treasury,Communication skills,Financial Analysis,ERP,English,Management,Microsoft Office"
438,Online Live Support Senior Specialist (Application Support Engineer),Network International -Egypt -,"Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,"Banking,IT/Software Development,SQL,Oracle PL/SQL,Payment Solutions,Payments,Data Analytics,Data Analysis,Computer Science,Financial Services"
439,Accounts Payable Specialist,Sykes Enterprises -,"Maadi, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"Accounting/Finance,Accounting,Accounts Payable,Finance,Payable,Financial Analysis,SAP,Oracle,Payroll Accounting,ERP System"
440,Accountant,German General food -,"6th of October, Giza, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"females_only,Accounting/Finance,accountant,Accounting,Finance,Financial Analysis"
441,Customer Solution Analyst,Nestle Cwa -,"Cairo, Egypt ",Full Time,Not specified,Customer Service/Support,"IT/Software Development,Analyst/Research,Computer Science,Information Technology (IT),Customer Service,Customer Care,Customer Support,Engineering,Analysis"
442,Accounting Manager,Global For Elevators and Esclators -,"Heliopolis, Cairo, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"Accounting/Finance,Accounting,Finance,Financial Analysis,SAP,reports"
443,System Analyst,Basata -,"Mokattam, Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,"IT/Software Development,Analyst/Research,Analysis,Computer Science,Software Development,Information Systems,Information Technology (IT),Testing,Software"
444,Brand Manager,Raya Distribution -,"Maadi, Cairo, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"Marketing/PR/Advertising,Sales/Retail,Branding,Commercial,Marketing Strategies,Analysis"
445,Supply Chain Analyst,Amreyah Cement -,"Alexandria, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"Logistics/Supply Chain,Operations/Management,Purchasing/Procurement,analytical,Analysis,Communication,Logistics,Purchasing,Supply Chain,Skills"
446,Integration System Analyst,Fawry for Banking Technology and Electronic Payments S.A.E -,"Giza, Egypt ",Full Time,Experienced,3 - 6 Yrs of Exp,"IT/Software Development,Analyst/Research,Business Analysis,Analysis,System Analysis,System Integration,Software,SQL,SOAP,UML"
447,Finance / Reporting Manager,Almosafer -,"Mohandessin, Giza, Egypt ",Full Time,Manager,8 - 10 Yrs of Exp,"Accounting/Finance,Operations/Management,Tourism/Travel,Tax,tax accountant,Accounting,Tax Accounting,taxation,accountant,Finance"
448,Chief Accountant,Universities of Canada in Egypt -,"New Capital, Cairo, Egypt ",Full Time,Experienced,5 - 10 Yrs of Exp,"Accounting/Finance,Accounting,analytical,CMA,Communication skills,CPA,Finance,Financial Analysis,Financial Management,Regulations"
449,Sr Financial Planning Analyst,NOK for Human Capital Solutions -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"Accounting/Finance,Analyst/Research,Accounting,Analysis,English,Finance,Financial,Financial Analysis,Financial Planning"
450,Senior Business Analyst,Edentech -,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,5 - 10 Yrs of Exp,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology,Analysis,analytical,Analyst,Business Analysis,Computer Science,Information Technology (IT),IT"
451,Accountant,Confidential -,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"Accounting/Finance,Banking,Manufacturing/Production,Accounting,excel,Finance,Financial Analysis,GAAP,MS Excel,Accounting Software"
452,Marketing Field Analyst,El-Mohandes Coating & Solvents -,"Alexandria, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,"Business Development,Marketing/PR/Advertising,Analyst/Research,Analysis,Data Analysis,Data Collection,Digital Marketing,Market Research,Marketing,surveys"
453,Senior Performance Management Specialist,Confidential -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,5+ Yrs of Exp,"Human Resources,Analyst/Research,Business Analytics,OKRs,Performance Management,Analytics,Business Analysis,Construction,Business Administration,Business Process"
454,Junior Accountant,Safa International Travel -,"Dokki, Giza, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,"males_only,Accounting/Finance,Microsoft Office,OTA,Accounting,Finance,Financial Management,Financial Analysis,E-Commerce,Computer Skills,English"
455,Financial Manager (Contracting experience),AlGammal Contracting -,"Katameya, Cairo, Egypt ",Full Time,Manager,10 - 12 Yrs of Exp,"Accounting/Finance,Operations/Management,Finance,Financial Management,Financial Analysis,Accounting,Financial"
456,Accountant (intern),Booking Holiday -,"Nasr City, Cairo, Egypt ",Internship,Entry Level,Accounting/Finance,"Banking,Logistics/Supply Chain,Accounting,Accounting Software,analytical,excel,Finance,Financial Analysis,Financial Management"
457,Financial Manager - Freight Forwarding,Confidential -,"Alexandria, Egypt ",Full Time,Manager,12+ Yrs of Exp,"Accounting/Finance,CMA,CPA,Finance,Financial Management,Financial Analysis,Communication Skills,Computer Skills,Microsoft Office,Microsoft Excel"
458,Product Owner,3Sixty -,"Dokki, Giza, Egypt ",Full Time,Experienced,3 - 6 Yrs of Exp,"IT/Software Development,Project/Program Management,Engineering - Telecom/Technology,Product Owner,Product Management,Agile,Business Analysis,Management,Information Technology (IT),Dental"
459,Sales Analyst,Nahdet Misr Publishing Group -,"Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Analyst/Research,Analysis,Data Analysis,Sales,Sales Analysis,Data"
460,Accounting Manager,Andalusia Maadi Hospital  -,"Maadi, Cairo, Egypt ",Full Time,Experienced,5 - 9 Yrs of Exp,"Accounting/Finance,Banking,Operations/Management,Accounting,Finance,Financial Management,Financial Analysis,Management"
461,Inventory Control Accounts Section Head-Accounting,El Banna Group Company -,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Manager,5 - 10 Yrs of Exp,"Accounting/Finance,Logistics/Supply Chain,Manufacturing/Production,Accounting,Accounting Software,Computer Skills,Financial Analysis,Financial Management,Production,Warehouse"
462,Senior Financial Auditor,MBCC Egypt -,"Cairo, Egypt ",Full Time,Experienced,7 - 10 Yrs of Exp,"Accounting/Finance,Manufacturing/Production,Analyst/Research,Financial,Auditing,auditor,CMA,CPA,Finance,Financial Management"
463,Financial Manager,Confidential -,"Maadi, Cairo, Egypt ",Full Time,Manager,10 - 20 Yrs of Exp,"Accounting/Finance,Operations/Management,Accounting,Communication,Finance,Financial Analysis,Financial Management"
464,Business Intelligence Analyst (Tableau/UI Designer),siParadigm Egypt -,"Sheraton, Cairo, Egypt ",Full Time,Experienced,2+ Yrs of Exp,"Business Development,Analyst/Research,Analysis,business,Analyst,Business Analysis,Business Intelligence,Data,Computer Science,Information Technology (IT)"
465,Business Analyst,eT3 - Tomorrow Information Technology -,"Cairo, Egypt ",Full Time,Experienced,5 - 8 Yrs of Exp,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology,Business Analysis,Computer Science,JIRA,SQL,Python,UAT testing,Data Analysis"
466,Finance Manager,Confidential -,"New Cairo, Cairo, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"Accounting/Finance,Finance,Financial Analysis,Financial Management,analytical,Financial Reporting"
467,Human Resources Generalist,IETOS -,"Sheraton, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"Human Resources,Human Resources (HR),Management,Performance Appraisal,Recruitment,Attendance,Appraisal,Microsoft Office,Interviews,Training Needs Analysis"
468,Call Center Manager,waffarha.com -,"Downtown, Cairo, Egypt ",Full Time,Manager,3 - 5 Yrs of Exp,"Customer Service/Support,Operations/Management,Call Center,Customer,Customer Care,Customer Service,Customer Support,MS Office,Reporting,Analysis"
469,Quality Assurance Manager,Confidential -,"Alexandria, Egypt ",Full Time,Manager,8+ Yrs of Exp,"Quality,ISO,ISO 9001,ISO 14001,quality,Quality Assurance,Analysis,sops"
470,Data Analyst - Pharmacist,Beyond Insurance Brokerage -,"Maadi, Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"Analyst/Research,Analysis,Data,Data Analysis,excel,Medical,Medical Insurance,Reviewing,Pharmacy,MS Office"
471,Investment Analyst,Transmar International  -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance,CFA,Investment,Business Administration,MBA,Financial Analysis"
472,Internal Auditor,Venus International Free Zone  -,"Cairo, Egypt ",Full Time,Entry Level,2 - 5 Yrs of Exp,"Accounting/Finance,Operations/Management,Analyst/Research,Auditing standards,auditor,Finance,Accounting,Internal auditor,Procedures,Financial Analysis"
473,Accountant,Injaz Digital  -,"Nasr City, Cairo, Egypt ",Full Time,Entry Level,2 - 3 Yrs of Exp,"Accounting/Finance,Accounting,Commerce,Microsoft Office,Finance,Microsoft Excel,Financial Management,Financial Analysis,Computer Skills,pivot"
474,Treasurer,Talaat Moustafa Group -,"Cairo, Egypt ",Full Time,Manager,1 - 3 Yrs of Exp,"Accounting/Finance,Accounting,Treasury,Finance,Microsoft Office,ERP,SAP,Commerce,Financial Analysis,Communication Skills"
475,Junior Accountant,Confidential -,"Nasr City, Cairo, Egypt ",Full Time,Entry Level,0 - 3 Yrs of Exp,"Accounting/Finance,Accounting,Finance,CMA,Commerce,Financial Analysis,Financial Management"
476,business Project Deliverables Writer,Thaka International -,"Badr City, Cairo, Egypt ",Full Time,Experienced,8+ Yrs of Exp,"Administration,Business Development,Project/Program Management,Project,Manager,Project Manager,Project Management,Management,business,Writing"
477,Email Marketing Specialist (Automation),Creative Basket -,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"Marketing/PR/Advertising,Communication skills,E-Marketing,Google Analytics,Marketing,SEM,SEO,Social Media,Automation,Analysis"
478,Junior Software Implementer,DIRAC SYSTEMS -,"Heliopolis, Cairo, Egypt ",Full Time,Entry Level,0 - 1 Yrs of Exp,"IT/Software Development,Analysis,business,Computer Science,Implementation,Information Technology (IT),Software Implementation,support"
479,Senior Budget & Cost Control Accountant,Confidential -,"Obour City, Cairo, Egypt ",Full Time,Experienced,4 - 8 Yrs of Exp,"Accounting/Finance,Hospitality/Hotels/Food Services,Project/Program Management,Accounting,Analysis,Control,Cost,Cost Control,Finance,Financial Analysis"
480,Internal Audit Manager,Confidential -,"Heliopolis, Cairo, Egypt ",Full Time,Manager,5 - 7 Yrs of Exp,"Accounting/Finance,Quality,Accounting,Analysis,Auditing,Finance,Financial Analysis,English,Financial,Procedures"
481,Finance Officer,Almosafer -,"Mohandessin, Giza, Egypt ",Full Time,Entry Level,1+ Yrs of Exp,"Accounting/Finance,Accounting,analytical,English,ERP,Finance,Financial Analysis,Financial Management,Tourism,SAP"
482,Accountant,sphinx marine -,"Smouha, Alexandria, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"Accounting/Finance,Banking,Accounting,Financial Analysis,Finance,Financial Management"
483,Costing Executive,EVA Cosmetics  -,"6th of October, Giza, Egypt ",Full Time,Experienced,5 - 10 Yrs of Exp,"Accounting/Finance,Accounting,Cost Analysis,English,MS Office,Cost Control,Cost Estimation,Finance,Financial Analysis,Oracle"
484,Warehouse Supervisor (spare part),Cairo Three A  for Stevedoring -,"Damietta, Damietta, Egypt ",Full Time,Experienced,5 - 5 Yrs of Exp,"males_only,Other,Warehousing,Communication,English,Microsoft Office,Oracle,Data Analysis,Spare Parts"
