,Job title,Company name,Location,Job type,Exp level,Exp years,Skills
903,cost control site engineers,TIC -,"6th of October, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance,Engineering - Construction/Civil/Architecture,Project/Program Management,Civil Engineering,Civil,Cost Control,Cost,Control,Engineering"
904,Planning Engineer,Construction Management Systems -,"Helwan, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Manufacturing/Production,Engineering,Tender Schedule,Construction,Planning Engineer,Civil Engineering,Tendering,Tender Proposal,Architecture"
905,Director OF Sales,Opal Egypt -,"Tanta, Gharbia, Egypt ",Full Time,Senior Management,5 - 10 Yrs of Exp,"males_only,Administration,Marketing/PR/Advertising,Sales/Retail,Management,Leadership,Sales"
906,Executive Manager,AlqadasiBiz -,"Cairo, Egypt ",Full Time,Manager,5+ Yrs of Exp,"Business Development,Marketing/PR/Advertising,C-Level Executive/GM/Director,Management,Digital Marketing"
907,Mobility Operation Manager ( Transportation ),HD Solutions -,"6th of October, Giza, Egypt ",Full Time,Manager,5 - 10 Yrs of Exp,"Installation/Maintenance/Repair,Operations/Management,Project/Program Management,Leadership,Communication,Microsoft Office,Business Administration,Team Building,Problem Solving,Time Management"
908,Planning Engineer,Forward Contractors-Real Estate -,"6th of October, Giza, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Project/Program Management,Planning Engineer,Primavera,Civil Engineering,analytical,Construction,Engineering,Microsoft,Planning"
909,UI/UX Designer (Cairo),Softwareclub -,"Cairo, Egypt ",Full Time,Not specified,Creative/Design/Art,"IT/Software Development,Engineering - Telecom/Technology,Information Technology (IT),UI,UX,Computer Science,Design,Adobe Photoshop,Adobe Illustrator"
910,Real Estate Agent,Phieg -,"New Cairo, Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"Sales/Retail,Negotiation,broker,Sales Target,Sales,Real Estate Agent,Real Estate"
911,AcDelco Sales Supervisor,General Motors Co. -,"Cairo, Egypt ",Full Time,Not specified,Customer Service/Support,"Medical/Healthcare,Sales/Retail,Sales,Sales Skills,Sales Target,Customer Service,FMCG,Customer Support,Customer Care"
912,Learning Management System Lead Egypt - Cairo - Orange Business,Orange Digital Ventures -,"Cairo, Egypt ",Full Time,Not specified,IT/Software Development,"Sales/Retail,Engineering - Telecom/Technology,information technology (it),computer science,sales,engineering,microsoft office,english,management"
913,National_Facilities Management Engineer,Dubai Festival City -,"Cairo, Egypt ",Full Time,Not specified,Engineering - Construction/Civil/Architecture,"Installation/Maintenance/Repair,Engineering - Mechanical/Electrical,Electrical Engineering,Mechanical Engineering,Facility Management,Engineering,Maintenance,Building Management,Civil Engineering"
